origem,destino,distancia,tempo,carregamento
Graal Itatiaia,Empório Maria Maria,145.76028042627573,87.45616825576545,1181.8401115643978
Graal Itatiaia,Shopping Metropolitano Barra,132.17896646777294,79.30737988066376,1071.7213497386995
Graal Itatiaia,EDP | Graal Coral (Plug&GO),303.4081707169704,182.04490243018225,104.02565853153271
Graal Itatiaia,EDP | Graal Topázio (Plug&GO),289.3462818439643,173.60776910637856,99.20443948935919
Graal Itatiaia,Posto BR Mania,148.33872776207258,89.00323665724355,178.0064733144871
Graal Itatiaia,BR Mania,148.33872776207258,89.00323665724355,178.0064733144871
Eletroposto Kinsol - Alicante,Graal Itatiaia,245.20730090384123,147.12438054230472,122.60365045192061
Eletroposto Kinsol - Alicante,Eletroposto Shell - GTMaxEnergy,86.3820088614745,51.8292053168847,129.57301329221175
Eletroposto Kinsol - Alicante,Cabana da Mantiqueira,396.4497724717274,237.86986348303643,396.4497724717274
Eletroposto Kinsol - Alicante,Eletrograal - Graal Pinda,140.4121571475652,84.24729428853912,70.2060785737826
Eletroposto Kinsol - Alicante,Nosso Pão de Queijo 60 KW,396.701582206516,238.0209493239096,396.701582206516
Eletroposto Kinsol - Alicante,Graal 56,56.6694922585806,34.00169535514836,28.3347461292903
Eletroposto Kinsol - Alicante,Eletrograal Alemão,218.8208034363272,131.29248206179633,109.4104017181636
Eletroposto Kinsol - Alicante,Estação Maru,328.89672845786805,197.33803707472083,328.89672845786805
Eletroposto Kinsol - Alicante,Plasticos Paraná,344.4187835861146,206.65127015166877,129.15704384479298
Eletroposto Kinsol - Alicante,Rodovia Washington Luís,210.9250090529278,126.55500543175668,210.9250090529278
Eletroposto Kinsol - Alicante,Rodovia Anhanguera,133.0000133470031,79.80000800820186,133.0000133470031
Eletroposto Kinsol - Alicante,Vale Sul,336.9517773362695,202.17106640176172,336.9517773362695
Eletroposto Kinsol - Alicante,Reataurante Merlo,353.1439789684978,211.88638738109864,706.2879579369956
Eletroposto Kinsol - Alicante,Metronorte,373.88478079288177,224.33086847572906,373.88478079288177
Eletroposto Kinsol - Alicante,Posto Calopysita,70.44984201645111,42.26990520987067,140.89968403290223
Eletroposto Kinsol - Alicante,Ev Eletroposto Restaurante Serra Da Graciosa,308.88278360639237,185.32967016383543,617.7655672127847
Eletroposto Kinsol - Alicante,Posto Galapagos - RJ,344.84898139768677,206.90938883861205,114.94966046589559
Eletroposto Kinsol - Alicante,GTMaxEnergy - Margutti Multimarcas,120.5027326984367,72.30163961906202,180.75409904765505
Eletroposto Kinsol - Alicante,Hub de Recarga Go Electric - Riacho Grande,19.10569751742961,11.463418510457767,3.184282919571602
Eletroposto Kinsol - Alicante,Paradouro Batistella ,58.94977753524696,35.369866521148175,117.89955507049392
Eletroposto Kinsol - Alicante,Posto Amigão - Itaboraí (Casa do Alemão),399.84914791528644,239.90948874917189,342.7278410702455
Eletroposto Kinsol - Alicante,Luminares Energia Solar,68.29405961775646,40.97643577065388,102.44108942663469
Eletroposto Kinsol - Alicante,Eletrograal 67,63.97024349824376,38.38214609894626,127.94048699648752
Eletroposto Kinsol - Alicante,Avenida Interlagos,9.924430368566632,5.9546582211399794,27.066628277908997
Eletroposto Kinsol - Alicante,Posto Amigão de Itaipava,379.2177653375772,227.5306592025463,910.1226368101852
Eletroposto Kinsol - Alicante,Kiosque do Alemão,374.5444174494333,224.72665046965997,774.9194843781379
Eletroposto Kinsol - Alicante,Cluster Go Electric - Cajamar,39.059782292039515,23.435869375223707,19.529891146019757
Eletroposto Kinsol - Alicante,Shell Recharge - Zarp Limão (Carrefour),13.931044124728594,8.358626474837157,34.82761031182148
Eletroposto Kinsol - Alicante,Shell Recharge - Posto Arinella Bandeirantes,8.243417098354662,4.9460502590127975,8.243417098354662
Eletroposto Kinsol - Alicante,Shell Recharge - Posto Shell São Gualter,13.950860728839242,8.370516437303547,16.741032874607093
Eletroposto Kinsol - Alicante,Posto Rudnick,367.6135673008509,220.56814038051053,1002.5824562750479
Eletroposto Kinsol - Alicante,Avenida da Liberdade,58.22377366178851,34.934264197073105,158.79210998669595
Eletroposto Kinsol - Alicante,Eletroposto GoElectric,225.04037086351084,135.0242225181065,112.52018543175542
Eletroposto Kinsol - Alicante,Rodovia Presidente Dutra - Pista Lateral,276.57904354271767,165.94742612563059,553.1580870854353
Eletroposto Kinsol - Alicante,Eletroposto Novo Pedágio,314.6264356298458,188.77586137790746,125.8505742519383
Eletroposto Kinsol - Alicante,Audi Center Juiz de Fora,386.8913985292517,232.13483911755102,154.75655941170066
Eletroposto Kinsol - Alicante,Shooping Nova America,350.5385805466806,210.32314832800833,3004.6164046858335
Eletroposto Kinsol - Alicante,Maxi Shopping Jundiai,57.87624151732491,34.725744910394944,496.08207014849916
Eletroposto Kinsol - Alicante,Posto Moinho I,210.94665635891695,126.56799381535016,253.13598763070033
Eletroposto Kinsol - Alicante,Posto Galo Branco Franca - Shell Recharge,349.68045046346197,209.80827027807717,419.61654055615435
Eletroposto Kinsol - Alicante,Posto Rabi Ibate,241.08708408388372,144.65225045033023,96.4348336335535
Eletroposto Kinsol - Alicante,Posto BR - Pau Seco,262.86476870609124,157.71886122365476,105.1459074824365
Eletroposto Kinsol - Alicante,Posto Bizungao III,242.82087584610233,145.6925255076614,291.3850510153228
Eletroposto Kinsol - Alicante,Auto Posto Orbi,205.14256565476217,123.0855393928573,246.1710787857146
Eletroposto Kinsol - Alicante,Volvo Posto Crossville,318.5380717856407,191.1228430713844,127.41522871425629
Eletroposto Kinsol - Alicante,Frango Assado Itu - Tupinambá,73.7386038954396,44.243162337263755,49.15906926362639
Eletroposto Kinsol - Alicante,Porsche Service | Body & Paint Stuttgart,12.014424511333132,7.20865470679988,2.059615630514251
Eletroposto Kinsol - Alicante,Porsche Center São Paulo - Stuttgart,9.084447951171835,5.450668770703102,1.5573339344866004
Eletroposto Kinsol - Alicante,Thor Volvo - RP,293.8723191352686,176.32339148116114,587.7446382705372
Eletroposto Kinsol - Alicante,Audi Center Ribeirão Preto,293.89012395690344,176.33407437414206,117.55604958276137
Eletroposto Kinsol - Alicante,Eurobike Special BYD,292.8497404444112,175.7098442666467,585.6994808888224
Eletroposto Kinsol - Alicante,Graal Topazio,293.8627201529291,176.31763209175747,117.54508806117164
Eletroposto Kinsol - Alicante,Frango Assado,272.36756630382973,163.42053978229782,108.94702652153188
Eletroposto Kinsol - Alicante,Posto Jardim do Trevo,90.0969178022578,54.05815068135468,108.11630136270936
Eletroposto Kinsol - Alicante,Audi Center Alto da XV,334.2798260440894,200.56789562645366,133.71193041763576
Eletroposto Kinsol - Alicante,Posto Tulio Caraguatá,310.56249974751336,186.33749984850803,2518.0743222771353
Eletroposto Kinsol - Alicante,Posto Fase Quattro,131.03233423654632,78.61940054192779,1062.4243316476727
Eletroposto Kinsol - Alicante,Alumifix Solar,341.1712164100595,204.7027298460357,682.342432820119
Eletroposto Kinsol - Alicante,Open Point Volvo Cars - Grupo Servopa,339.76076747868353,203.85646048721011,679.5215349573671
Eletroposto Kinsol - Alicante,EZVolt Canindé,10.497908700357172,6.298745220214304,10.497908700357172
Eletroposto Kinsol - Alicante,Eletroposto EZVolt / 99 - 100% elétrico,7.421592175018575,4.4529553050111454,2.2264776525055727
Eletroposto Kinsol - Alicante,Movida Tatuapé,10.225067245212909,6.135040347127745,12.27008069425549
Eletroposto Kinsol - Alicante,Shell Recharge - Frango Assado Jacareí,69.4662053044876,41.67972318269256,27.78648212179504
Eletroposto Kinsol - Alicante,Shell Recharge - Posto Iate Botafogo,358.0742466622835,214.84454799737009,429.68909599474017
Eletroposto Kinsol - Alicante,Posto Campeão 28,29.989383776780095,17.993630266068056,29.989383776780095
Eletroposto Kinsol - Alicante,Frango Assado Carvalho Pinto,86.13092594392857,51.67855556635714,34.45237037757143
Eletroposto Kinsol - Alicante,Eletroposto Copel Paranaguá,286.2711047206446,171.76266283238675,343.5253256647735
Eletroposto Kinsol - Alicante,CPFL,95.70716902219695,57.42430141331817,114.84860282663634
Eletroposto Kinsol - Alicante,Hub EZVolt,4.911428830479709,2.946857298287825,4.911428830479709
Eletroposto Kinsol - Alicante,Ibis Jundiaí Shopping ,55.15147411090839,33.090884466545035,300.8262224231367
Eletroposto Kinsol - Alicante,3333 Avenida Nove de Julho,54.99157002986628,32.99494201791977,149.97700917236259
Eletroposto Kinsol - Alicante,Avenida Nove de Julho,54.860411939601484,32.91624716376089,444.8141508616336
Eletroposto Kinsol - Alicante,Riviera Shopping Estacionamento ,62.29192546375302,37.37515527825181,10.67861579378623
Eletroposto Kinsol - Alicante,Volvo - Posto 6,214.09090875422277,128.45454525253368,80.28409078283353
Eletroposto Kinsol - Alicante,Zletric - Rancho Empyero,173.21338601503646,103.92803160902187,173.21338601503646
Eletroposto Kinsol - Alicante,Copel - Maranello Palmeira,398.0169288942318,238.81015733653908,477.62031467307816
Eletroposto Kinsol - Alicante,Volvo Charger - Posto Ongaratto 500,206.03423956087386,123.62054373652431,257.5427994510923
Eletroposto Kinsol - Alicante,Shell Recharge - Posto Papa,13.718910850696307,8.231346510417785,16.46269302083557
Eletroposto Kinsol - Alicante,Eletroposto Eletroposto Volvo Carga Rápida,123.24468275974489,73.94680965584693,49.297873103897956
Eletroposto Kinsol - Alicante,Posto Arco Íris Roseira,153.26645698084118,91.95987418850471,61.30658279233647
Eletroposto Kinsol - Alicante,Eletroposto Tupinambá - Shopping Tamboré,26.824486795120787,16.094692077072473,73.15769125942033
Eletroposto Kinsol - Alicante,Eletropostos Volvo - Shopping Tamboré,26.866518806696973,16.119911284018183,230.28444691454547
Eletroposto Kinsol - Alicante,Copel Telecomunicações,342.4499076335772,205.46994458014632,410.93988916029264
